,Date,Percent Illumination,Total Crimes,City
0,2015-01-01,84.0,296,Denver
1,2015-01-02,91.0,222,Denver
2,2015-01-03,96.0,186,Denver
3,2015-01-04,99.0,162,Denver
4,2015-01-05,100.0,234,Denver
5,2015-01-06,99.0,232,Denver
6,2015-01-07,96.0,239,Denver
7,2015-01-08,91.0,227,Denver
8,2015-01-09,85.0,280,Denver
9,2015-01-10,78.0,259,Denver
10,2015-01-11,70.0,223,Denver
11,2015-01-12,61.0,228,Denver
12,2015-01-13,52.0,256,Denver
13,2015-01-14,42.0,236,Denver
14,2015-01-15,32.0,244,Denver
15,2015-01-16,23.0,261,Denver
16,2015-01-17,14.0,223,Denver
17,2015-01-18,8.0,211,Denver
18,2015-01-19,3.0,214,Denver
19,2015-01-20,0.0,238,Denver
20,2015-01-21,1.0,248,Denver
21,2015-01-22,4.0,247,Denver
22,2015-01-23,11.0,266,Denver
23,2015-01-24,19.0,219,Denver
24,2015-01-25,29.0,209,Denver
25,2015-01-26,40.0,243,Denver
26,2015-01-27,51.0,223,Denver
27,2015-01-28,61.0,242,Denver
28,2015-01-29,71.0,230,Denver
29,2015-01-30,80.0,244,Denver
30,2015-01-31,87.0,210,Denver
31,2015-02-01,93.0,200,Denver
32,2015-02-02,97.0,265,Denver
33,2015-02-03,99.0,248,Denver
34,2015-02-04,100.0,240,Denver
35,2015-02-05,98.0,219,Denver
36,2015-02-06,95.0,259,Denver
37,2015-02-07,91.0,246,Denver
38,2015-02-08,85.0,200,Denver
39,2015-02-09,77.0,266,Denver
40,2015-02-10,69.0,244,Denver
41,2015-02-11,59.0,240,Denver
42,2015-02-12,49.0,250,Denver
43,2015-02-13,39.0,252,Denver
44,2015-02-14,29.0,193,Denver
45,2015-02-15,19.0,180,Denver
46,2015-02-16,11.0,198,Denver
47,2015-02-17,5.0,217,Denver
48,2015-02-18,1.0,218,Denver
49,2015-02-19,0.0,224,Denver
50,2015-02-20,2.0,231,Denver
51,2015-02-21,8.0,176,Denver
52,2015-02-22,15.0,112,Denver
53,2015-02-23,24.0,184,Denver
54,2015-02-24,35.0,255,Denver
55,2015-02-25,45.0,188,Denver
56,2015-02-26,56.0,150,Denver
57,2015-02-27,66.0,253,Denver
58,2015-02-28,75.0,214,Denver
59,2015-03-01,83.0,196,Denver
60,2015-03-02,89.0,207,Denver
61,2015-03-03,94.0,214,Denver
62,2015-03-04,98.0,257,Denver
63,2015-03-05,100.0,206,Denver
64,2015-03-06,100.0,250,Denver
65,2015-03-07,98.0,222,Denver
66,2015-03-08,95.0,168,Denver
67,2015-03-09,89.0,237,Denver
68,2015-03-10,83.0,259,Denver
69,2015-03-11,75.0,252,Denver
70,2015-03-12,65.0,273,Denver
71,2015-03-13,55.0,204,Denver
72,2015-03-14,45.0,229,Denver
73,2015-03-15,34.0,232,Denver
74,2015-03-16,24.0,212,Denver
75,2015-03-17,14.0,211,Denver
76,2015-03-18,7.0,248,Denver
77,2015-03-19,2.0,205,Denver
78,2015-03-20,0.0,286,Denver
79,2015-03-21,1.0,218,Denver
80,2015-03-22,5.0,193,Denver
81,2015-03-23,11.0,218,Denver
82,2015-03-24,20.0,224,Denver
83,2015-03-25,29.0,200,Denver
84,2015-03-26,39.0,263,Denver
85,2015-03-27,49.0,284,Denver
86,2015-03-28,59.0,226,Denver
87,2015-03-29,69.0,191,Denver
88,2015-03-30,77.0,216,Denver
89,2015-03-31,85.0,229,Denver
90,2015-04-01,91.0,252,Denver
91,2015-04-02,95.0,234,Denver
92,2015-04-03,99.0,257,Denver
93,2015-04-04,100.0,237,Denver
94,2015-04-05,99.0,195,Denver
95,2015-04-06,97.0,252,Denver
96,2015-04-07,93.0,239,Denver
97,2015-04-08,87.0,241,Denver
98,2015-04-09,79.0,231,Denver
99,2015-04-10,70.0,293,Denver
