,Date,Percent Illumination,Total Crimes,City
0,2015-01-01,84.0,1920,NYC
1,2015-01-02,91.0,1037,NYC
2,2015-01-03,96.0,1019,NYC
3,2015-01-04,99.0,901,NYC
4,2015-01-05,100.0,1058,NYC
5,2015-01-06,99.0,965,NYC
6,2015-01-07,96.0,970,NYC
7,2015-01-08,91.0,1005,NYC
8,2015-01-09,85.0,1142,NYC
9,2015-01-10,78.0,1069,NYC
10,2015-01-11,70.0,1017,NYC
11,2015-01-12,61.0,1058,NYC
12,2015-01-13,52.0,1219,NYC
13,2015-01-14,42.0,1219,NYC
14,2015-01-15,32.0,1357,NYC
15,2015-01-16,23.0,1299,NYC
16,2015-01-17,14.0,1274,NYC
17,2015-01-18,8.0,971,NYC
18,2015-01-19,3.0,1091,NYC
19,2015-01-20,0.0,1264,NYC
20,2015-01-21,1.0,1218,NYC
21,2015-01-22,4.0,1264,NYC
22,2015-01-23,11.0,1333,NYC
23,2015-01-24,19.0,1080,NYC
24,2015-01-25,29.0,1099,NYC
25,2015-01-26,40.0,931,NYC
26,2015-01-27,51.0,810,NYC
27,2015-01-28,61.0,1062,NYC
28,2015-01-29,71.0,1053,NYC
29,2015-01-30,80.0,1143,NYC
30,2015-01-31,87.0,1045,NYC
31,2015-02-01,93.0,1332,NYC
32,2015-02-02,97.0,888,NYC
33,2015-02-03,99.0,949,NYC
34,2015-02-04,100.0,1207,NYC
35,2015-02-05,98.0,1123,NYC
36,2015-02-06,95.0,1215,NYC
37,2015-02-07,91.0,1168,NYC
38,2015-02-08,85.0,1027,NYC
39,2015-02-09,77.0,995,NYC
40,2015-02-10,69.0,1138,NYC
41,2015-02-11,59.0,1177,NYC
42,2015-02-12,49.0,1187,NYC
43,2015-02-13,39.0,1153,NYC
44,2015-02-14,29.0,1198,NYC
45,2015-02-15,19.0,1077,NYC
46,2015-02-16,11.0,964,NYC
47,2015-02-17,5.0,1039,NYC
48,2015-02-18,1.0,1192,NYC
49,2015-02-19,0.0,1032,NYC
50,2015-02-20,2.0,1153,NYC
51,2015-02-21,8.0,1121,NYC
52,2015-02-22,15.0,992,NYC
53,2015-02-23,24.0,1000,NYC
54,2015-02-24,35.0,1010,NYC
55,2015-02-25,45.0,1202,NYC
56,2015-02-26,56.0,1178,NYC
57,2015-02-27,66.0,1249,NYC
58,2015-02-28,75.0,1171,NYC
59,2015-03-01,83.0,1356,NYC
60,2015-03-02,89.0,1118,NYC
61,2015-03-03,94.0,1133,NYC
62,2015-03-04,98.0,1176,NYC
63,2015-03-05,100.0,1059,NYC
64,2015-03-06,100.0,1225,NYC
65,2015-03-07,98.0,1235,NYC
66,2015-03-08,95.0,1090,NYC
67,2015-03-09,89.0,1300,NYC
68,2015-03-10,83.0,1304,NYC
69,2015-03-11,75.0,1275,NYC
70,2015-03-12,65.0,1279,NYC
71,2015-03-13,55.0,1337,NYC
72,2015-03-14,45.0,1277,NYC
73,2015-03-15,34.0,1302,NYC
74,2015-03-16,24.0,1208,NYC
75,2015-03-17,14.0,1317,NYC
76,2015-03-18,7.0,1279,NYC
77,2015-03-19,2.0,1225,NYC
78,2015-03-20,0.0,1200,NYC
79,2015-03-21,1.0,1257,NYC
80,2015-03-22,5.0,1131,NYC
81,2015-03-23,11.0,1143,NYC
82,2015-03-24,20.0,1173,NYC
83,2015-03-25,29.0,1249,NYC
84,2015-03-26,39.0,1212,NYC
85,2015-03-27,49.0,1312,NYC
86,2015-03-28,59.0,1226,NYC
87,2015-03-29,69.0,1123,NYC
88,2015-03-30,77.0,1169,NYC
89,2015-03-31,85.0,1170,NYC
90,2015-04-01,91.0,1835,NYC
91,2015-04-02,95.0,1397,NYC
92,2015-04-03,99.0,1364,NYC
93,2015-04-04,100.0,1326,NYC
94,2015-04-05,99.0,1018,NYC
95,2015-04-06,97.0,1199,NYC
96,2015-04-07,93.0,1201,NYC
97,2015-04-08,87.0,1256,NYC
98,2015-04-09,79.0,1193,NYC
99,2015-04-10,70.0,1307,NYC
100,2015-04-11,60.0,1230,NYC
101,2015-04-12,49.0,1217,NYC
102,2015-04-13,38.0,1222,NYC
103,2015-04-14,27.0,1360,NYC
104,2015-04-15,17.0,1467,NYC
105,2015-04-16,9.0,1349,NYC
106,2015-04-17,3.0,1412,NYC
107,2015-04-18,0.0,1468,NYC
108,2015-04-19,0.0,1218,NYC
109,2015-04-20,3.0,1153,NYC
110,2015-04-21,8.0,1324,NYC
111,2015-04-22,15.0,1355,NYC
112,2015-04-23,24.0,1261,NYC
113,2015-04-24,33.0,1382,NYC
114,2015-04-25,43.0,1325,NYC
115,2015-04-26,53.0,1262,NYC
116,2015-04-27,62.0,1241,NYC
117,2015-04-28,71.0,1285,NYC
118,2015-04-29,79.0,1363,NYC
119,2015-04-30,86.0,1372,NYC
120,2015-05-01,92.0,1891,NYC
121,2015-05-02,97.0,1184,NYC
122,2015-05-03,99.0,1275,NYC
123,2015-05-04,100.0,1216,NYC
124,2015-05-05,99.0,1394,NYC
125,2015-05-06,95.0,1343,NYC
126,2015-05-07,90.0,1365,NYC
127,2015-05-08,83.0,1374,NYC
128,2015-05-09,74.0,1330,NYC
129,2015-05-10,63.0,1325,NYC
130,2015-05-11,52.0,1303,NYC
131,2015-05-12,41.0,1415,NYC
132,2015-05-13,30.0,1468,NYC
133,2015-05-14,20.0,1386,NYC
134,2015-05-15,11.0,1630,NYC
135,2015-05-16,5.0,1333,NYC
136,2015-05-17,1.0,1285,NYC
137,2015-05-18,0.0,1368,NYC
138,2015-05-19,2.0,1310,NYC
139,2015-05-20,6.0,1476,NYC
140,2015-05-21,11.0,1325,NYC
141,2015-05-22,19.0,1510,NYC
142,2015-05-23,27.0,1342,NYC
143,2015-05-24,36.0,1257,NYC
144,2015-05-25,46.0,1249,NYC
145,2015-05-26,55.0,1401,NYC
146,2015-05-27,64.0,1379,NYC
147,2015-05-28,73.0,1364,NYC
148,2015-05-29,81.0,1454,NYC
149,2015-05-30,88.0,1497,NYC
150,2015-05-31,94.0,1207,NYC
151,2015-06-01,98.0,1579,NYC
152,2015-06-02,100.0,1253,NYC
153,2015-06-03,99.0,1323,NYC
154,2015-06-04,97.0,1315,NYC
155,2015-06-05,92.0,1453,NYC
156,2015-06-06,85.0,1391,NYC
157,2015-06-07,76.0,1252,NYC
158,2015-06-08,66.0,1317,NYC
159,2015-06-09,55.0,1349,NYC
160,2015-06-10,43.0,1431,NYC
161,2015-06-11,32.0,1392,NYC
162,2015-06-12,22.0,1498,NYC
163,2015-06-13,13.0,1360,NYC
164,2015-06-14,7.0,1312,NYC
165,2015-06-15,2.0,1380,NYC
166,2015-06-16,0.0,1408,NYC
167,2015-06-17,1.0,1408,NYC
168,2015-06-18,3.0,1424,NYC
169,2015-06-19,8.0,1481,NYC
170,2015-06-20,14.0,1402,NYC
171,2015-06-21,21.0,1321,NYC
172,2015-06-22,30.0,1433,NYC
173,2015-06-23,39.0,1371,NYC
174,2015-06-24,48.0,1381,NYC
175,2015-06-25,58.0,1535,NYC
176,2015-06-26,67.0,1474,NYC
177,2015-06-27,76.0,1340,NYC
178,2015-06-28,84.0,1186,NYC
179,2015-06-29,91.0,1252,NYC
180,2015-06-30,96.0,1344,NYC
181,2015-07-01,99.0,1779,NYC
182,2015-07-02,100.0,1389,NYC
183,2015-07-03,98.0,1527,NYC
184,2015-07-04,94.0,1362,NYC
185,2015-07-05,87.0,1374,NYC
186,2015-07-06,78.0,1325,NYC
187,2015-07-07,68.0,1450,NYC
188,2015-07-08,57.0,1384,NYC
189,2015-07-09,46.0,1359,NYC
190,2015-07-10,35.0,1378,NYC
191,2015-07-11,24.0,1439,NYC
192,2015-07-12,16.0,1389,NYC
193,2015-07-13,9.0,1337,NYC
194,2015-07-14,4.0,1287,NYC
195,2015-07-15,1.0,1564,NYC
196,2015-07-16,0.0,1439,NYC
197,2015-07-17,2.0,1435,NYC
198,2015-07-18,5.0,1401,NYC
199,2015-07-19,10.0,1250,NYC
200,2015-07-20,16.0,1412,NYC
201,2015-07-21,24.0,1430,NYC
202,2015-07-22,32.0,1489,NYC
203,2015-07-23,41.0,1528,NYC
204,2015-07-24,51.0,1500,NYC
205,2015-07-25,61.0,1530,NYC
206,2015-07-26,70.0,1435,NYC
207,2015-07-27,79.0,1317,NYC
208,2015-07-28,87.0,1345,NYC
209,2015-07-29,93.0,1488,NYC
210,2015-07-30,98.0,1391,NYC
211,2015-07-31,100.0,1483,NYC
212,2015-08-01,99.0,1775,NYC
213,2015-08-02,95.0,1370,NYC
214,2015-08-03,89.0,1412,NYC
215,2015-08-04,81.0,1464,NYC
216,2015-08-05,70.0,1555,NYC
217,2015-08-06,60.0,1452,NYC
218,2015-08-07,48.0,1528,NYC
219,2015-08-08,37.0,1457,NYC
220,2015-08-09,27.0,1327,NYC
221,2015-08-10,18.0,1370,NYC
222,2015-08-11,11.0,1279,NYC
223,2015-08-12,6.0,1516,NYC
224,2015-08-13,2.0,1518,NYC
225,2015-08-14,0.0,1568,NYC
226,2015-08-15,0.0,1537,NYC
227,2015-08-16,2.0,1360,NYC
