,Full Date,Percent Illumination,Total Crimes,% Illumination
0,2015-01-01,84.0,44,79-89%
1,2015-01-02,91.0,1,90-96%
2,2015-01-03,96.0,1,90-96%
3,2015-01-04,99.0,3,97-100%
4,2015-01-05,100.0,3,97-100%
5,2015-01-06,99.0,3,97-100%
6,2015-01-07,96.0,2,90-96%
7,2015-01-08,91.0,1,90-96%
8,2015-01-09,85.0,1,79-89%
9,2015-01-10,78.0,1,66-78%
10,2015-01-11,70.0,3,66-78%
11,2015-01-12,61.0,2,51-65%
12,2015-01-13,52.0,3,51-65%
13,2015-01-14,42.0,1,36-50%
14,2015-01-15,32.0,4,21-35%
15,2015-01-16,23.0,3,21-35%
16,2015-01-17,14.0,1,10-21%
17,2015-01-18,8.0,1,3-9%
18,2015-01-19,3.0,6,0-2%
19,2015-01-20,0.0,2,0-2%
20,2015-01-21,1.0,1,0-2%
21,2015-01-22,4.0,2,3-9%
22,2015-01-23,11.0,1,10-21%
23,2015-01-24,19.0,2,10-21%
24,2015-01-25,29.0,1,21-35%
25,2015-01-26,40.0,1,36-50%
26,2015-01-27,51.0,1,36-50%
27,2015-01-28,61.0,1,51-65%
28,2015-01-29,71.0,1,66-78%
29,2015-01-30,80.0,3,79-89%
30,2015-01-31,87.0,2,79-89%
31,2015-02-01,93.0,18,90-96%
32,2015-02-02,97.0,4,90-96%
33,2015-02-03,99.0,1,97-100%
34,2015-02-04,100.0,1,97-100%
35,2015-02-05,98.0,3,97-100%
36,2015-02-06,95.0,3,90-96%
37,2015-02-07,91.0,1,90-96%
38,2015-02-08,85.0,1,79-89%
39,2015-02-09,77.0,1,66-78%
40,2015-02-10,69.0,1,66-78%
41,2015-02-11,59.0,2,51-65%
42,2015-02-12,49.0,1,36-50%
43,2015-02-13,39.0,2,36-50%
44,2015-02-14,29.0,2,21-35%
45,2015-02-15,19.0,7,10-21%
46,2015-02-16,11.0,1,10-21%
47,2015-02-17,5.0,1,3-9%
48,2015-02-18,1.0,2,0-2%
49,2015-02-19,0.0,1,0-2%
50,2015-02-20,2.0,5,0-2%
51,2015-02-21,8.0,2,3-9%
52,2015-02-22,15.0,5,10-21%
53,2015-02-23,24.0,1,21-35%
54,2015-02-24,35.0,2,21-35%
55,2015-02-25,45.0,3,36-50%
56,2015-02-26,56.0,8,51-65%
57,2015-02-27,66.0,2,51-65%
58,2015-02-28,75.0,2,66-78%
59,2015-03-01,83.0,25,79-89%
60,2015-03-02,89.0,4,79-89%
61,2015-03-03,94.0,4,90-96%
62,2015-03-04,98.0,4,97-100%
63,2015-03-05,100.0,3,97-100%
64,2015-03-06,100.0,5,97-100%
65,2015-03-07,98.0,1,97-100%
66,2015-03-08,95.0,1,90-96%
67,2015-03-09,89.0,2,79-89%
68,2015-03-10,83.0,5,79-89%
69,2015-03-11,75.0,2,66-78%
70,2015-03-12,65.0,7,51-65%
71,2015-03-13,55.0,1,51-65%
72,2015-03-14,45.0,1,36-50%
73,2015-03-15,34.0,5,21-35%
74,2015-03-16,24.0,2,21-35%
75,2015-03-17,14.0,3,10-21%
76,2015-03-18,7.0,4,3-9%
77,2015-03-19,2.0,8,0-2%
78,2015-03-20,0.0,4,0-2%
79,2015-03-21,1.0,5,0-2%
80,2015-03-22,5.0,1,3-9%
81,2015-03-23,11.0,1,10-21%
82,2015-03-24,20.0,1,10-21%
83,2015-03-25,29.0,1,21-35%
84,2015-03-26,39.0,4,36-50%
85,2015-03-27,49.0,4,36-50%
86,2015-03-28,59.0,5,51-65%
87,2015-03-29,69.0,2,66-78%
88,2015-03-30,77.0,1,66-78%
89,2015-03-31,85.0,4,79-89%
90,2015-04-01,91.0,31,90-96%
91,2015-04-02,95.0,2,90-96%
92,2015-04-03,99.0,7,97-100%
93,2015-04-04,100.0,7,97-100%
94,2015-04-05,99.0,4,97-100%
95,2015-04-06,97.0,11,90-96%
96,2015-04-07,93.0,10,90-96%
97,2015-04-08,87.0,2,79-89%
98,2015-04-09,79.0,2,66-78%
99,2015-04-10,70.0,9,66-78%
100,2015-04-11,60.0,4,51-65%
101,2015-04-12,49.0,5,36-50%
102,2015-04-13,38.0,9,36-50%
103,2015-04-14,27.0,8,21-35%
104,2015-04-15,17.0,29,10-21%
105,2015-04-16,9.0,6,3-9%
106,2015-04-17,3.0,9,0-2%
107,2015-04-18,0.0,4,0-2%
108,2015-04-19,0.0,7,0-2%
109,2015-04-20,3.0,19,0-2%
110,2015-04-21,8.0,8,3-9%
111,2015-04-22,15.0,9,10-21%
112,2015-04-23,24.0,8,21-35%
113,2015-04-24,33.0,16,21-35%
114,2015-04-25,43.0,7,36-50%
115,2015-04-26,53.0,11,51-65%
116,2015-04-27,62.0,30,51-65%
117,2015-04-28,71.0,26,66-78%
118,2015-04-29,79.0,29,66-78%
119,2015-04-30,86.0,65,79-89%
120,2015-05-01,92.0,193,90-96%
121,2015-05-02,97.0,178,90-96%
122,2015-05-03,99.0,130,97-100%
123,2015-05-04,100.0,146,97-100%
124,2015-05-05,99.0,151,97-100%
125,2015-05-06,95.0,169,90-96%
126,2015-05-07,90.0,143,79-89%
127,2015-05-08,83.0,150,79-89%
128,2015-05-09,74.0,125,66-78%
129,2015-05-10,63.0,145,51-65%
130,2015-05-11,52.0,149,51-65%
131,2015-05-12,41.0,163,36-50%
132,2015-05-13,30.0,139,21-35%
133,2015-05-14,20.0,147,10-21%
134,2015-05-15,11.0,190,10-21%
135,2015-05-16,5.0,167,3-9%
136,2015-05-17,1.0,162,0-2%
137,2015-05-18,0.0,158,0-2%
138,2015-05-19,2.0,149,0-2%
139,2015-05-20,6.0,197,3-9%
140,2015-05-21,11.0,188,10-21%
141,2015-05-22,19.0,163,10-21%
142,2015-05-23,27.0,134,21-35%
143,2015-05-24,36.0,140,36-50%
144,2015-05-25,46.0,140,36-50%
145,2015-05-26,55.0,189,51-65%
146,2015-05-27,64.0,149,51-65%
147,2015-05-28,73.0,147,66-78%
148,2015-05-29,81.0,158,79-89%
149,2015-05-30,88.0,167,79-89%
150,2015-05-31,94.0,135,90-96%
151,2015-06-01,98.0,173,97-100%
152,2015-06-02,100.0,145,97-100%
153,2015-06-03,99.0,147,97-100%
154,2015-06-04,97.0,152,90-96%
155,2015-06-05,92.0,172,90-96%
156,2015-06-06,85.0,144,79-89%
157,2015-06-07,76.0,153,66-78%
158,2015-06-08,66.0,147,51-65%
159,2015-06-09,55.0,145,51-65%
160,2015-06-10,43.0,175,36-50%
161,2015-06-11,32.0,125,21-35%
162,2015-06-12,22.0,164,21-35%
163,2015-06-13,13.0,155,10-21%
164,2015-06-14,7.0,148,3-9%
165,2015-06-15,2.0,162,0-2%
166,2015-06-16,0.0,137,0-2%
167,2015-06-17,1.0,156,0-2%
