,Date,Percent Illumination,Total Crimes,City
0,2015-01-01,84.0,553,San Francisco
1,2015-01-02,91.0,433,San Francisco
2,2015-01-03,96.0,444,San Francisco
3,2015-01-04,99.0,335,San Francisco
4,2015-01-05,100.0,459,San Francisco
5,2015-01-06,99.0,417,San Francisco
6,2015-01-07,96.0,397,San Francisco
7,2015-01-08,91.0,394,San Francisco
8,2015-01-09,85.0,509,San Francisco
9,2015-01-10,78.0,424,San Francisco
10,2015-01-11,70.0,368,San Francisco
11,2015-01-12,61.0,439,San Francisco
12,2015-01-13,52.0,422,San Francisco
13,2015-01-14,42.0,475,San Francisco
14,2015-01-15,32.0,496,San Francisco
15,2015-01-16,23.0,479,San Francisco
16,2015-01-17,14.0,490,San Francisco
17,2015-01-18,8.0,401,San Francisco
18,2015-01-19,3.0,483,San Francisco
19,2015-01-20,0.0,445,San Francisco
20,2015-01-21,1.0,408,San Francisco
21,2015-01-22,4.0,423,San Francisco
22,2015-01-23,11.0,445,San Francisco
23,2015-01-24,19.0,454,San Francisco
24,2015-01-25,29.0,365,San Francisco
25,2015-01-26,40.0,372,San Francisco
26,2015-01-27,51.0,473,San Francisco
27,2015-01-28,61.0,443,San Francisco
28,2015-01-29,71.0,444,San Francisco
29,2015-01-30,80.0,464,San Francisco
30,2015-01-31,87.0,452,San Francisco
31,2015-02-01,93.0,466,San Francisco
32,2015-02-02,97.0,467,San Francisco
33,2015-02-03,99.0,450,San Francisco
34,2015-02-04,100.0,507,San Francisco
35,2015-02-05,98.0,387,San Francisco
36,2015-02-06,95.0,424,San Francisco
37,2015-02-07,91.0,354,San Francisco
38,2015-02-08,85.0,394,San Francisco
39,2015-02-09,77.0,421,San Francisco
40,2015-02-10,69.0,429,San Francisco
41,2015-02-11,59.0,419,San Francisco
42,2015-02-12,49.0,403,San Francisco
43,2015-02-13,39.0,457,San Francisco
44,2015-02-14,29.0,442,San Francisco
45,2015-02-15,19.0,416,San Francisco
46,2015-02-16,11.0,439,San Francisco
47,2015-02-17,5.0,438,San Francisco
48,2015-02-18,1.0,448,San Francisco
49,2015-02-19,0.0,385,San Francisco
50,2015-02-20,2.0,536,San Francisco
51,2015-02-21,8.0,455,San Francisco
52,2015-02-22,15.0,445,San Francisco
53,2015-02-23,24.0,505,San Francisco
54,2015-02-24,35.0,436,San Francisco
55,2015-02-25,45.0,456,San Francisco
56,2015-02-26,56.0,445,San Francisco
57,2015-02-27,66.0,441,San Francisco
58,2015-02-28,75.0,464,San Francisco
59,2015-03-01,83.0,475,San Francisco
60,2015-03-02,89.0,414,San Francisco
61,2015-03-03,94.0,459,San Francisco
62,2015-03-04,98.0,473,San Francisco
63,2015-03-05,100.0,436,San Francisco
64,2015-03-06,100.0,478,San Francisco
65,2015-03-07,98.0,481,San Francisco
66,2015-03-08,95.0,412,San Francisco
67,2015-03-09,89.0,463,San Francisco
68,2015-03-10,83.0,428,San Francisco
69,2015-03-11,75.0,436,San Francisco
70,2015-03-12,65.0,428,San Francisco
71,2015-03-13,55.0,506,San Francisco
72,2015-03-14,45.0,460,San Francisco
73,2015-03-15,34.0,482,San Francisco
74,2015-03-16,24.0,430,San Francisco
75,2015-03-17,14.0,446,San Francisco
76,2015-03-18,7.0,402,San Francisco
77,2015-03-19,2.0,446,San Francisco
78,2015-03-20,0.0,479,San Francisco
79,2015-03-21,1.0,411,San Francisco
80,2015-03-22,5.0,430,San Francisco
81,2015-03-23,11.0,390,San Francisco
82,2015-03-24,20.0,438,San Francisco
83,2015-03-25,29.0,526,San Francisco
84,2015-03-26,39.0,436,San Francisco
85,2015-03-27,49.0,491,San Francisco
86,2015-03-28,59.0,508,San Francisco
87,2015-03-29,69.0,416,San Francisco
88,2015-03-30,77.0,438,San Francisco
89,2015-03-31,85.0,411,San Francisco
90,2015-04-01,91.0,454,San Francisco
91,2015-04-02,95.0,446,San Francisco
92,2015-04-03,99.0,462,San Francisco
93,2015-04-04,100.0,438,San Francisco
94,2015-04-05,99.0,384,San Francisco
95,2015-04-06,97.0,428,San Francisco
96,2015-04-07,93.0,392,San Francisco
97,2015-04-08,87.0,411,San Francisco
98,2015-04-09,79.0,423,San Francisco
99,2015-04-10,70.0,455,San Francisco
100,2015-04-11,60.0,466,San Francisco
101,2015-04-12,49.0,405,San Francisco
102,2015-04-13,38.0,421,San Francisco
103,2015-04-14,27.0,383,San Francisco
104,2015-04-15,17.0,485,San Francisco
105,2015-04-16,9.0,423,San Francisco
106,2015-04-17,3.0,473,San Francisco
107,2015-04-18,0.0,466,San Francisco
108,2015-04-19,0.0,462,San Francisco
109,2015-04-20,3.0,409,San Francisco
110,2015-04-21,8.0,399,San Francisco
111,2015-04-22,15.0,467,San Francisco
112,2015-04-23,24.0,363,San Francisco
113,2015-04-24,33.0,471,San Francisco
114,2015-04-25,43.0,419,San Francisco
115,2015-04-26,53.0,404,San Francisco
