,Date,Percent Illumination,Total Crimes
0,1/1/2015,84,245
1,1/2/2015,91,149
2,1/3/2015,96,131
3,1/4/2015,99,113
4,1/5/2015,100,167
5,1/6/2015,99,137
6,1/7/2015,96,149
7,1/8/2015,91,143
8,1/9/2015,85,177
9,1/10/2015,78,204
10,1/11/2015,70,177
11,1/12/2015,61,175
12,1/13/2015,52,191
13,1/14/2015,42,173
14,1/15/2015,32,196
15,1/16/2015,23,191
16,1/17/2015,14,182
17,1/18/2015,8,175
18,1/19/2015,3,173
19,1/20/2015,0,176
20,1/21/2015,1,149
21,1/22/2015,4,170
22,1/23/2015,11,198
23,1/24/2015,19,183
24,1/25/2015,29,162
25,1/26/2015,40,189
26,1/27/2015,51,175
27,1/28/2015,61,181
28,1/29/2015,71,181
29,1/30/2015,80,184
30,1/31/2015,87,156
31,2/1/2015,93,133
32,2/2/2015,97,176
33,2/3/2015,99,186
34,2/4/2015,100,151
35,2/5/2015,98,150
36,2/6/2015,95,206
37,2/7/2015,91,188
38,2/8/2015,85,163
39,2/9/2015,77,204
40,2/10/2015,69,181
41,2/11/2015,59,177
42,2/12/2015,49,180
43,2/13/2015,39,186
44,2/14/2015,29,149
45,2/15/2015,19,150
46,2/16/2015,11,111
47,2/17/2015,5,122
48,2/18/2015,1,155
49,2/19/2015,0,159
50,2/20/2015,2,178
51,2/21/2015,8,119
52,2/22/2015,15,75
53,2/23/2015,24,120
54,2/24/2015,35,167
55,2/25/2015,45,113
56,2/26/2015,56,109
57,2/27/2015,66,157
58,2/28/2015,75,172
59,3/1/2015,83,160
60,3/2/2015,89,136
61,3/3/2015,94,163
62,3/4/2015,98,180
63,3/5/2015,100,137
64,3/6/2015,100,170
65,3/7/2015,98,170
66,3/8/2015,95,129
67,3/9/2015,89,180
68,3/10/2015,83,190
69,3/11/2015,75,198
70,3/12/2015,65,214
71,3/13/2015,55,160
72,3/14/2015,45,182
73,3/15/2015,34,182
74,3/16/2015,24,160
75,3/17/2015,14,155
76,3/18/2015,7,193
77,3/19/2015,2,159
78,3/20/2015,0,209
79,3/21/2015,1,163
80,3/22/2015,5,155
81,3/23/2015,11,174
82,3/24/2015,20,179
83,3/25/2015,29,138
84,3/26/2015,39,212
85,3/27/2015,49,212
86,3/28/2015,59,183
87,3/29/2015,69,156
88,3/30/2015,77,155
89,3/31/2015,85,177
90,4/1/2015,91,194
91,4/2/2015,95,178
92,4/3/2015,99,173
93,4/4/2015,100,178
94,4/5/2015,99,150
95,4/6/2015,97,186
96,4/7/2015,93,188
97,4/8/2015,87,192
98,4/9/2015,79,165
99,4/10/2015,70,217
100,4/11/2015,60,180
101,4/12/2015,49,163
102,4/13/2015,38,179
103,4/14/2015,27,191
104,4/15/2015,17,203
105,4/16/2015,9,164
106,4/17/2015,3,188
107,4/18/2015,0,238
108,4/19/2015,0,249
109,4/20/2015,3,215
