date,date,Aggravated Assault,Aircraft,Arson,Assembly or Gathering Violations,Auto Theft,Auto Theft Recovery,Ballistics,Biological Threat,Bomb Hoax,Burglary - No Property Taken,Commercial Burglary,Confidence Games,Counterfeiting,Criminal Harassment,Disorderly Conduct,Drug Violation,Embezzlement,Evading Fare,Explosives,Fire Related Reports,Firearm Discovery,Firearm Violations,Fraud,Gambling,HOME INVASION,HUMAN TRAFFICKING,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,Harassment,Harbor Related Incidents,Homicide,INVESTIGATE PERSON,Investigate Person,Investigate Property,Landlord/Tenant Disputes,Larceny,Larceny From Motor Vehicle,License Plate Related Incidents,License Violation,Liquor Violation,Manslaughter,Medical Assistance,Missing Person Located,Missing Person Reported,Motor Vehicle Accident Response,Offenses Against Child / Family,Operating Under the Influence,Other,Other Burglary,Phone Call Complaints,Police Service Incidents,Prisoner Related Incidents,Property Found,Property Lost,Property Related Damage,Prostitution,Recovered Stolen Property,Residential Burglary,Restraining Order Violations,Robbery,Search Warrants,Service,Simple Assault,Towed,Vandalism,Verbal Disputes,Violations,Warrant Arrests,moonPhase,total
2015-06-15,2015-06-15,9.0,,,,2.0,,,,,,,5.0,2.0,1.0,2.0,11.0,,,,1.0,1.0,1.0,6.0,,,,,3.0,,,,18.0,12.0,,28.0,4.0,1.0,,,,16.0,5.0,2.0,22.0,,,11.0,2.0,,1.0,,3.0,13.0,,,,9.0,1.0,,1.0,1.0,12.0,8.0,16.0,6.0,4.0,9.0,0.97,249
2015-06-16,2015-06-16,10.0,,,1.0,4.0,,2.0,,,,1.0,5.0,1.0,,2.0,27.0,,,,2.0,,3.0,4.0,,,,,1.0,,,,11.0,1.0,,24.0,3.0,1.0,,,,15.0,6.0,4.0,28.0,1.0,,15.0,,,5.0,,6.0,5.0,1.0,,1.0,3.0,,3.0,,,14.0,5.0,13.0,7.0,11.0,12.0,0.02,258
2015-06-17,2015-06-17,5.0,,,1.0,5.0,3.0,,,,,,7.0,1.0,,,8.0,2.0,,,1.0,,,5.0,,,,,,,,,13.0,5.0,1.0,33.0,7.0,,1.0,1.0,,16.0,5.0,2.0,22.0,,,21.0,,,1.0,,1.0,3.0,1.0,1.0,1.0,6.0,1.0,6.0,,,12.0,4.0,12.0,8.0,5.0,7.0,0.04,234
2015-06-18,2015-06-18,6.0,,,2.0,9.0,,,,,,2.0,6.0,3.0,,2.0,8.0,,,,1.0,,4.0,6.0,,,,,1.0,,,,8.0,2.0,1.0,25.0,6.0,1.0,,,,9.0,3.0,5.0,20.0,,,17.0,1.0,,44.0,,2.0,12.0,,,2.0,12.0,2.0,2.0,10.0,,13.0,8.0,13.0,4.0,6.0,16.0,0.07,294
2015-06-19,2015-06-19,9.0,,,,3.0,,2.0,,1.0,,2.0,2.0,1.0,,4.0,17.0,1.0,1.0,,2.0,,3.0,9.0,,,,,2.0,,,,13.0,6.0,,34.0,8.0,2.0,,,,16.0,6.0,6.0,28.0,2.0,1.0,22.0,1.0,,2.0,,3.0,11.0,,,1.0,12.0,,7.0,1.0,1.0,15.0,7.0,3.0,10.0,5.0,7.0,0.11,289
2015-06-20,2015-06-20,10.0,,1.0,,3.0,,1.0,,,,,4.0,1.0,,3.0,18.0,,,,,,6.0,10.0,,,,,5.0,,,,11.0,11.0,,26.0,8.0,1.0,2.0,,,14.0,4.0,4.0,23.0,2.0,,17.0,,,3.0,1.0,3.0,3.0,,2.0,2.0,6.0,2.0,1.0,,,12.0,8.0,12.0,8.0,4.0,9.0,0.14,261
2015-06-21,2015-06-21,5.0,,,3.0,1.0,,2.0,,,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,3.0,,,,16.0,6.0,,17.0,16.0,,2.0,1.0,,12.0,3.0,1.0,22.0,,1.0,12.0,,,,1.0,1.0,8.0,1.0,,,5.0,1.0,2.0,,,6.0,9.0,8.0,9.0,3.0,4.0,0.17,186
2015-06-22,2015-06-22,8.0,,,,4.0,1.0,1.0,,,,,4.0,,2.0,2.0,20.0,,,,2.0,,1.0,8.0,,,,,2.0,1.0,,,9.0,5.0,2.0,24.0,10.0,1.0,2.0,2.0,,17.0,3.0,2.0,25.0,,1.0,19.0,,,,,5.0,4.0,,,2.0,12.0,,2.0,1.0,,14.0,12.0,14.0,6.0,5.0,7.0,0.2,262
2015-06-23,2015-06-23,7.0,,,1.0,5.0,2.0,,,,,1.0,4.0,1.0,1.0,2.0,20.0,,,,,,2.0,7.0,,,,,,,,,12.0,8.0,4.0,32.0,19.0,,1.0,3.0,,13.0,3.0,1.0,26.0,,,23.0,,,4.0,,2.0,4.0,2.0,,,10.0,1.0,7.0,,,12.0,3.0,13.0,5.0,1.0,4.0,0.23,266
2015-06-24,2015-06-24,9.0,,,,3.0,1.0,1.0,,,,8.0,4.0,3.0,,7.0,9.0,1.0,3.0,,1.0,,3.0,4.0,,,,,2.0,,,,12.0,7.0,,24.0,11.0,,1.0,,,15.0,6.0,7.0,39.0,1.0,,21.0,1.0,,3.0,,3.0,7.0,,,1.0,8.0,,1.0,,,8.0,8.0,12.0,7.0,8.0,6.0,0.26,276
