date,time,phase,phaseid,datetime,timestamp,friendlydate
01/04/2015,11:53 PM,Full Moon,3,2015-01-04 23:53:00,1420433580,"January 4, 2015"
01/13/2015,04:46 AM,Last Quarter,4,2015-01-13 04:46:00,1421142360,"January 13, 2015"
01/20/2015,08:14 AM,New Moon,1,2015-01-20 08:14:00,1421759640,"January 20, 2015"
01/26/2015,11:48 PM,First Quarter,2,2015-01-26 23:48:00,1422334080,"January 26, 2015"
02/03/2015,06:09 PM,Full Moon,3,2015-02-03 18:09:00,1423004940,"February 3, 2015"
02/11/2015,10:50 PM,Last Quarter,4,2015-02-11 22:50:00,1423713000,"February 11, 2015"
02/18/2015,06:47 PM,New Moon,1,2015-02-18 18:47:00,1424303220,"February 18, 2015"
02/25/2015,12:14 PM,First Quarter,2,2015-02-25 12:14:00,1424884440,"February 25, 2015"
03/05/2015,01:05 PM,Full Moon,3,2015-03-05 13:05:00,1425578700,"March 5, 2015"
03/13/2015,01:48 PM,Last Quarter,4,2015-03-13 13:48:00,1426268880,"March 13, 2015"
03/20/2015,05:36 AM,New Moon,1,2015-03-20 05:36:00,1426844160,"March 20, 2015"
03/27/2015,03:43 AM,First Quarter,2,2015-03-27 03:43:00,1427442180,"March 27, 2015"
04/04/2015,08:06 AM,Full Moon,3,2015-04-04 08:06:00,1428149160,"April 4, 2015"
04/11/2015,11:44 PM,Last Quarter,4,2015-04-11 23:44:00,1428810240,"April 11, 2015"
04/18/2015,02:57 PM,New Moon,1,2015-04-18 14:57:00,1429383420,"April 18, 2015"
04/25/2015,07:55 PM,First Quarter,2,2015-04-25 19:55:00,1430006100,"April 25, 2015"
05/03/2015,11:42 PM,Full Moon,3,2015-05-03 23:42:00,1430710920,"May 3, 2015"
05/11/2015,06:36 AM,Last Quarter,4,2015-05-11 06:36:00,1431340560,"May 11, 2015"
05/18/2015,12:13 AM,New Moon,1,2015-05-18 00:13:00,1431922380,"May 18, 2015"
05/25/2015,01:19 PM,First Quarter,2,2015-05-25 13:19:00,1432574340,"May 25, 2015"
06/02/2015,12:19 PM,Full Moon,3,2015-06-02 12:19:00,1433261940,"June 2, 2015"
06/09/2015,11:42 AM,Last Quarter,4,2015-06-09 11:42:00,1433864520,"June 9, 2015"
06/16/2015,10:05 AM,New Moon,1,2015-06-16 10:05:00,1434463500,"June 16, 2015"
06/24/2015,07:03 AM,First Quarter,2,2015-06-24 07:03:00,1435143780,"June 24, 2015"
07/01/2015,10:20 PM,Full Moon,3,2015-07-01 22:20:00,1435803600,"July 1, 2015"
07/08/2015,04:24 PM,Last Quarter,4,2015-07-08 16:24:00,1436387040,"July 8, 2015"
07/15/2015,09:24 PM,New Moon,1,2015-07-15 21:24:00,1437009840,"July 15, 2015"
07/24/2015,12:04 AM,First Quarter,2,2015-07-24 00:04:00,1437710640,"July 24, 2015"
07/31/2015,06:43 AM,Full Moon,3,2015-07-31 06:43:00,1438339380,"July 31, 2015"
08/06/2015,10:03 PM,Last Quarter,4,2015-08-06 22:03:00,1438912980,"August 6, 2015"
08/14/2015,10:53 AM,New Moon,1,2015-08-14 10:53:00,1439563980,"August 14, 2015"
08/22/2015,03:31 PM,First Quarter,2,2015-08-22 15:31:00,1440271860,"August 22, 2015"
08/29/2015,02:35 PM,Full Moon,3,2015-08-29 14:35:00,1440873300,"August 29, 2015"
09/05/2015,05:54 AM,Last Quarter,4,2015-09-05 05:54:00,1441446840,"September 5, 2015"
09/13/2015,02:41 AM,New Moon,1,2015-09-13 02:41:00,1442126460,"September 13, 2015"
09/21/2015,04:59 AM,First Quarter,2,2015-09-21 04:59:00,1442825940,"September 21, 2015"
09/27/2015,10:51 PM,Full Moon,3,2015-09-27 22:51:00,1443408660,"September 27, 2015"
10/04/2015,05:06 PM,Last Quarter,4,2015-10-04 17:06:00,1443992760,"October 4, 2015"
10/12/2015,08:06 PM,New Moon,1,2015-10-12 20:06:00,1444694760,"October 12, 2015"
10/20/2015,04:31 PM,First Quarter,2,2015-10-20 16:31:00,1445373060,"October 20, 2015"
10/27/2015,08:05 AM,Full Moon,3,2015-10-27 08:05:00,1445947500,"October 27, 2015"
11/03/2015,07:24 AM,Last Quarter,4,2015-11-03 07:24:00,1446553440,"November 3, 2015"
11/11/2015,12:47 PM,New Moon,1,2015-11-11 12:47:00,1447264020,"November 11, 2015"
11/19/2015,01:27 AM,First Quarter,2,2015-11-19 01:27:00,1447914420,"November 19, 2015"
11/25/2015,05:44 PM,Full Moon,3,2015-11-25 17:44:00,1448491440,"November 25, 2015"
12/03/2015,02:40 AM,Last Quarter,4,2015-12-03 02:40:00,1449128400,"December 3, 2015"
12/11/2015,05:29 AM,New Moon,1,2015-12-11 05:29:00,1449829740,"December 11, 2015"
12/18/2015,10:14 AM,First Quarter,2,2015-12-18 10:14:00,1450451640,"December 18, 2015"
12/25/2015,06:11 AM,Full Moon,3,2015-12-25 06:11:00,1451041860,"December 25, 2015"
