,Date,Percent Illumination,Total Crimes,% Illumination
0,2015-01-01,84.0,1920,79-89%
1,2015-01-02,91.0,1037,90-96%
2,2015-01-03,96.0,1019,90-96%
3,2015-01-04,99.0,901,97-100%
4,2015-01-05,100.0,1058,97-100%
5,2015-01-06,99.0,965,97-100%
6,2015-01-07,96.0,970,90-96%
7,2015-01-08,91.0,1005,90-96%
8,2015-01-09,85.0,1142,79-89%
9,2015-01-10,78.0,1069,66-78%
10,2015-01-11,70.0,1017,66-78%
11,2015-01-12,61.0,1058,51-65%
12,2015-01-13,52.0,1219,51-65%
13,2015-01-14,42.0,1219,36-50%
14,2015-01-15,32.0,1357,22-35%
15,2015-01-16,23.0,1299,22-35%
16,2015-01-17,14.0,1274,11-21%
17,2015-01-18,8.0,971,4-10%
18,2015-01-19,3.0,1091,0-3%
19,2015-01-20,0.0,1264,0-3%
20,2015-01-21,1.0,1218,0-3%
21,2015-01-22,4.0,1264,4-10%
22,2015-01-23,11.0,1333,11-21%
23,2015-01-24,19.0,1080,11-21%
24,2015-01-25,29.0,1099,22-35%
25,2015-01-26,40.0,931,36-50%
26,2015-01-27,51.0,810,36-50%
27,2015-01-28,61.0,1062,51-65%
28,2015-01-29,71.0,1053,66-78%
29,2015-01-30,80.0,1143,79-89%
30,2015-01-31,87.0,1045,79-89%
31,2015-02-01,93.0,1332,90-96%
32,2015-02-02,97.0,888,90-96%
33,2015-02-03,99.0,949,97-100%
34,2015-02-04,100.0,1207,97-100%
35,2015-02-05,98.0,1123,97-100%
36,2015-02-06,95.0,1215,90-96%
37,2015-02-07,91.0,1168,90-96%
38,2015-02-08,85.0,1027,79-89%
39,2015-02-09,77.0,995,66-78%
40,2015-02-10,69.0,1138,66-78%
41,2015-02-11,59.0,1177,51-65%
42,2015-02-12,49.0,1187,36-50%
43,2015-02-13,39.0,1153,36-50%
44,2015-02-14,29.0,1198,22-35%
45,2015-02-15,19.0,1077,11-21%
46,2015-02-16,11.0,964,11-21%
47,2015-02-17,5.0,1039,4-10%
48,2015-02-18,1.0,1192,0-3%
49,2015-02-19,0.0,1032,0-3%
50,2015-02-20,2.0,1153,0-3%
51,2015-02-21,8.0,1121,4-10%
52,2015-02-22,15.0,992,11-21%
53,2015-02-23,24.0,1000,22-35%
54,2015-02-24,35.0,1010,22-35%
55,2015-02-25,45.0,1202,36-50%
56,2015-02-26,56.0,1178,51-65%
57,2015-02-27,66.0,1249,51-65%
58,2015-02-28,75.0,1171,66-78%
59,2015-03-01,83.0,1356,79-89%
60,2015-03-02,89.0,1118,79-89%
61,2015-03-03,94.0,1133,90-96%
