,Date,Percent Illumination,Total Crimes
0,1/1/2015,84,44
1,1/2/2015,91,1
2,1/3/2015,96,1
3,1/4/2015,99,3
4,1/5/2015,100,3
5,1/6/2015,99,3
6,1/7/2015,96,2
7,1/8/2015,91,1
8,1/9/2015,85,1
9,1/10/2015,78,1
10,1/11/2015,70,3
11,1/12/2015,61,2
12,1/13/2015,52,3
13,1/14/2015,42,1
14,1/15/2015,32,4
15,1/16/2015,23,3
16,1/17/2015,14,1
17,1/18/2015,8,1
18,1/19/2015,3,6
19,1/20/2015,0,2
20,1/21/2015,1,1
21,1/22/2015,4,2
22,1/23/2015,11,1
23,1/24/2015,19,2
24,1/25/2015,29,1
25,1/26/2015,40,1
26,1/27/2015,51,1
27,1/28/2015,61,1
28,1/29/2015,71,1
29,1/30/2015,80,3
30,1/31/2015,87,2
31,2/1/2015,93,18
32,2/2/2015,97,4
33,2/3/2015,99,1
34,2/4/2015,100,1
35,2/5/2015,98,3
36,2/6/2015,95,3
37,2/7/2015,91,1
38,2/8/2015,85,1
39,2/9/2015,77,1
40,2/10/2015,69,1
41,2/11/2015,59,2
42,2/12/2015,49,1
43,2/13/2015,39,2
44,2/14/2015,29,2
45,2/15/2015,19,7
46,2/16/2015,11,1
47,2/17/2015,5,1
48,2/18/2015,1,2
49,2/19/2015,0,1
50,2/20/2015,2,5
51,2/21/2015,8,2
52,2/22/2015,15,5
53,2/23/2015,24,1
54,2/24/2015,35,2
55,2/25/2015,45,3
56,2/26/2015,56,8
57,2/27/2015,66,2
58,2/28/2015,75,2
59,3/1/2015,83,25
60,3/2/2015,89,4
61,3/3/2015,94,4
62,3/4/2015,98,4
63,3/5/2015,100,3
64,3/6/2015,100,5
65,3/7/2015,98,1
66,3/8/2015,95,1
67,3/9/2015,89,2
68,3/10/2015,83,5
69,3/11/2015,75,2
70,3/12/2015,65,7
71,3/13/2015,55,1
72,3/14/2015,45,1
73,3/15/2015,34,5
74,3/16/2015,24,2
75,3/17/2015,14,3
76,3/18/2015,7,4
77,3/19/2015,2,8
78,3/20/2015,0,4
79,3/21/2015,1,5
80,3/22/2015,5,1
81,3/23/2015,11,1
82,3/24/2015,20,1
83,3/25/2015,29,1
84,3/26/2015,39,4
85,3/27/2015,49,4
86,3/28/2015,59,5
87,3/29/2015,69,2
88,3/30/2015,77,1
89,3/31/2015,85,4
90,4/1/2015,91,31
91,4/2/2015,95,2
92,4/3/2015,99,7
93,4/4/2015,100,7
94,4/5/2015,99,4
95,4/6/2015,97,11
96,4/7/2015,93,10
97,4/8/2015,87,2
98,4/9/2015,79,2
99,4/10/2015,70,9
100,4/11/2015,60,4
101,4/12/2015,49,5
102,4/13/2015,38,9
103,4/14/2015,27,8
104,4/15/2015,17,29
105,4/16/2015,9,6
106,4/17/2015,3,9
107,4/18/2015,0,4
108,4/19/2015,0,7
109,4/20/2015,3,19
110,4/21/2015,8,8
111,4/22/2015,15,9
112,4/23/2015,24,8
113,4/24/2015,33,16
114,4/25/2015,43,7
115,4/26/2015,53,11
116,4/27/2015,62,30
117,4/28/2015,71,26
118,4/29/2015,79,29
119,4/30/2015,86,65
120,5/1/2015,92,193
121,5/2/2015,97,178
122,5/3/2015,99,130
123,5/4/2015,100,146
124,5/5/2015,99,151
125,5/6/2015,95,169
126,5/7/2015,90,143
127,5/8/2015,83,150
128,5/9/2015,74,125
129,5/10/2015,63,145
130,5/11/2015,52,149
131,5/12/2015,41,163
132,5/13/2015,30,139
133,5/14/2015,20,147
134,5/15/2015,11,190
135,5/16/2015,5,167
136,5/17/2015,1,162
137,5/18/2015,0,158
138,5/19/2015,2,149
139,5/20/2015,6,197
140,5/21/2015,11,188
141,5/22/2015,19,163
142,5/23/2015,27,134
143,5/24/2015,36,140
144,5/25/2015,46,140
145,5/26/2015,55,189
146,5/27/2015,64,149
147,5/28/2015,73,147
148,5/29/2015,81,158
149,5/30/2015,88,167
150,5/31/2015,94,135
151,6/1/2015,98,173
152,6/2/2015,100,145
153,6/3/2015,99,147
154,6/4/2015,97,152
155,6/5/2015,92,172
156,6/6/2015,85,144
157,6/7/2015,76,153
158,6/8/2015,66,147
159,6/9/2015,55,145
160,6/10/2015,43,175
161,6/11/2015,32,125
162,6/12/2015,22,164
163,6/13/2015,13,155
164,6/14/2015,7,148
165,6/15/2015,2,162
166,6/16/2015,0,137
167,6/17/2015,1,156
168,6/18/2015,3,145
169,6/19/2015,8,139
170,6/20/2015,14,135
171,6/21/2015,21,163
172,6/22/2015,30,142
173,6/23/2015,39,169
174,6/24/2015,48,154
175,6/25/2015,58,187
176,6/26/2015,67,156
177,6/27/2015,76,143
178,6/28/2015,84,144
179,6/29/2015,91,152
180,6/30/2015,96,134
181,7/1/2015,99,167
182,7/2/2015,100,167
183,7/3/2015,98,176
184,7/4/2015,94,155
185,7/5/2015,87,125
186,7/6/2015,78,155
187,7/7/2015,68,162
188,7/8/2015,57,130
189,7/9/2015,46,134
190,7/10/2015,35,171
191,7/11/2015,24,157
192,7/12/2015,16,114
193,7/13/2015,9,126
194,7/14/2015,4,144
195,7/15/2015,1,156
196,7/16/2015,0,159
197,7/17/2015,2,186
198,7/18/2015,5,151
199,7/19/2015,10,124
200,7/20/2015,16,154
201,7/21/2015,24,161
202,7/22/2015,32,163
203,7/23/2015,41,165
204,7/24/2015,51,190
205,7/25/2015,61,151
206,7/26/2015,70,166
207,7/27/2015,79,145
208,7/28/2015,87,159
209,7/29/2015,93,174
210,7/30/2015,98,162
211,7/31/2015,100,172
212,8/1/2015,99,158
213,8/2/2015,95,143
214,8/3/2015,89,150
215,8/4/2015,81,146
