,date,moonPhase
0,2015-06-15,0.97
1,2015-06-16,0.02
2,2015-06-17,0.04
3,2015-06-18,0.07
4,2015-06-19,0.11
5,2015-06-20,0.14
6,2015-06-21,0.17
7,2015-06-22,0.2
8,2015-06-23,0.23
9,2015-06-24,0.26
10,2015-06-25,0.29
11,2015-06-26,0.32
12,2015-06-27,0.35
13,2015-06-28,0.38
14,2015-06-29,0.41
15,2015-06-30,0.45
16,2015-07-01,0.48
17,2015-07-02,0.52
18,2015-07-03,0.56
19,2015-07-04,0.59
20,2015-07-05,0.63
21,2015-07-06,0.67
22,2015-07-07,0.7
23,2015-07-08,0.74
24,2015-07-09,0.78
25,2015-07-10,0.82
26,2015-07-11,0.85
27,2015-07-12,0.89
28,2015-07-13,0.92
29,2015-07-14,0.96
30,2015-07-15,0.98
31,2015-07-16,0.03
32,2015-07-17,0.06
33,2015-07-18,0.09
34,2015-07-19,0.12
35,2015-07-20,0.15
36,2015-07-21,0.18
37,2015-07-22,0.21
38,2015-07-23,0.24
39,2015-07-24,0.27
40,2015-07-25,0.3
41,2015-07-26,0.33
42,2015-07-27,0.36
43,2015-07-28,0.4
44,2015-07-29,0.43
45,2015-07-30,0.47
46,2015-07-31,0.51
47,2015-08-01,0.54
48,2015-08-02,0.58
49,2015-08-03,0.62
50,2015-08-04,0.66
51,2015-08-05,0.69
52,2015-08-06,0.73
53,2015-08-07,0.77
54,2015-08-08,0.8
55,2015-08-09,0.84
56,2015-08-10,0.87
57,2015-08-11,0.91
58,2015-08-12,0.94
59,2015-08-13,0.97
60,2015-08-14,0.01
61,2015-08-15,0.04
62,2015-08-16,0.07
63,2015-08-17,0.1
64,2015-08-18,0.13
65,2015-08-19,0.16
66,2015-08-20,0.19
67,2015-08-21,0.22
68,2015-08-22,0.25
69,2015-08-23,0.28
70,2015-08-24,0.31
71,2015-08-25,0.35
72,2015-08-26,0.38
73,2015-08-27,0.42
74,2015-08-28,0.46
75,2015-08-29,0.49
76,2015-08-30,0.53
77,2015-08-31,0.57
78,2015-09-01,0.61
79,2015-09-02,0.65
80,2015-09-03,0.68
81,2015-09-04,0.72
82,2015-09-05,0.75
83,2015-09-06,0.79
84,2015-09-07,0.82
85,2015-09-08,0.86
86,2015-09-09,0.89
87,2015-09-10,0.92
88,2015-09-11,0.95
89,2015-09-12,0.98
90,2015-09-13,0.01
91,2015-09-14,0.04
92,2015-09-15,0.07
93,2015-09-16,0.1
94,2015-09-17,0.13
95,2015-09-18,0.17
96,2015-09-19,0.2
97,2015-09-20,0.23
98,2015-09-21,0.26
99,2015-09-22,0.3
100,2015-09-23,0.33
101,2015-09-24,0.37
102,2015-09-25,0.41
103,2015-09-26,0.45
104,2015-09-27,0.48
105,2015-09-28,0.52
106,2015-09-29,0.56
107,2015-09-30,0.6
108,2015-10-01,0.63
109,2015-10-02,0.67
110,2015-10-03,0.7
111,2015-10-04,0.74
112,2015-10-05,0.77
113,2015-10-06,0.81
114,2015-10-07,0.84
115,2015-10-08,0.87
116,2015-10-09,0.9
117,2015-10-10,0.93
118,2015-10-11,0.96
119,2015-10-12,0.99
120,2015-10-13,0.02
121,2015-10-14,0.05
122,2015-10-15,0.08
123,2015-10-16,0.11
124,2015-10-17,0.15
125,2015-10-18,0.18
126,2015-10-19,0.21
127,2015-10-20,0.25
128,2015-10-21,0.28
129,2015-10-22,0.32
130,2015-10-23,0.36
131,2015-10-24,0.4
132,2015-10-25,0.43
133,2015-10-26,0.47
134,2015-10-27,0.51
135,2015-10-28,0.55
136,2015-10-29,0.58
137,2015-10-30,0.62
138,2015-10-31,0.65
139,2015-11-01,0.69
140,2015-11-02,0.72
